bone_name,constraint_name,mute,target,subtarget_bone_name,extrapolate,from_min_x,from_max_x,from_min_y,from_max_y,from_min_z,from_max_z,map_to_x_from,map_to_y_from,map_to_z_from,map_to,to_min_x,to_max_x,to_min_y,to_max_y,to_min_z,to_max_z,target_space,owner_space
Shanks.L.005,Rig Ctrl,False,Dorothy.Armature,Foot_P.L,True,0,0.0049999999,0,0.0049999999,0,0,Y,Z,X,ROTATION,0,0.7853981853,0,0,0,-0.7853981853,LOCAL,LOCAL
Shanks.R.005,Rig Ctrl,False,Dorothy.Armature,Foot_P.R,True,0,0.0049999999,0,0.0049999999,0,0,Y,Z,X,ROTATION,0,0.7853981853,0,0,0,-0.7853981853,LOCAL,LOCAL
EyeBall.L,Rig Ctrl,False,Dorothy.Armature,Gaze_T.L,True,0,0.0049999999,0,0.0049999999,0,0,Y,Z,X,ROTATION,0,-0.7853981853,0,0,0,-0.7853981853,LOCAL,LOCAL
EyeBall.R,Rig Ctrl,False,Dorothy.Armature,Gaze_T.R,True,0,0.0049999999,0,0.0049999999,0,0,Y,Z,X,ROTATION,0,-0.7853981853,0,0,0,-0.7853981853,LOCAL,LOCAL
Growth_Arms,Transformation,False,Dorothy.Armature,Growth_T,True,0,0.1000000015,0,0,0,0,X,X,X,SCALE,1,0.5,1,0.5,1,0.5,LOCAL,LOCAL
Hand.L,Transformation,False,Dorothy.Armature,Growth_T,True,0,0.1000000015,0,0,0,0,X,X,X,SCALE,1,0.6999999881,1,0.6000000238,1,0.6999999881,LOCAL,LOCAL
Hand.R,Transformation,False,Dorothy.Armature,Growth_T,False,0,0.1000000015,0,0,0,0,X,X,X,SCALE,1,0.6999999881,1,0.6000000238,1,0.6999999881,LOCAL,LOCAL
Growth_Legs,Transformation,False,Dorothy.Armature,Growth_T,True,0,0.1000000015,0,0,0,0,X,X,X,SCALE,1,0.5,1,0.400000006,1,0.5,LOCAL,LOCAL
Pelvis,Transformation,False,Dorothy.Armature,Growth_T,True,0,0.1000000015,0,0,0,0,X,X,X,SCALE,1,0.4499999881,1,0.400000006,1,0.4499999881,LOCAL,LOCAL
Shanks.L.001,Transformation,False,Dorothy.Armature,Growth_T,False,0,0.1000000015,0,0,0,0,X,X,X,SCALE,1,0.6000000238,1,0.6000000238,1,0.6000000238,LOCAL,LOCAL
Shanks.R.001,Transformation,False,Dorothy.Armature,Growth_T,False,0,0.1000000015,0,0,0,0,X,X,X,SCALE,1,0.6000000238,1,0.6000000238,1,0.6000000238,LOCAL,LOCAL
Waist,Transformation,False,Dorothy.Armature,Growth_T,True,0,0.1000000015,0,0,0,0,X,X,X,SCALE,1,0.400000006,1,0.5,1,0.400000006,LOCAL,LOCAL
Waist.001,Transformation,False,Dorothy.Armature,Growth_T,True,0,0.1000000015,0,0,0,0,X,X,X,SCALE,1,1.2999999523,1,1,1,1.2999999523,LOCAL,LOCAL
Spine.Root,Transformation,False,Dorothy.Armature,Growth_T,True,0,0.1000000015,0,0,0,0,X,X,X,SCALE,1,0.8000000119,1,1,1,0.8000000119,LOCAL,LOCAL
Shoulder.L,Transformation,False,Dorothy.Armature,Growth_T,True,0,0.1000000015,0,0,0,0,X,X,X,SCALE,1,0.6999999881,1,0.6999999881,1,0.6999999881,LOCAL,LOCAL
Shoulder.R,Transformation,False,Dorothy.Armature,Growth_T,True,0,0.1000000015,0,0,0,0,X,X,X,SCALE,1,0.6999999881,1,0.6999999881,1,0.6999999881,LOCAL,LOCAL
Neck.002,Transformation,False,Dorothy.Armature,Growth_T,False,0,0.1000000015,0,0,0,0,X,X,X,SCALE,1,0.5500000119,1,0.5500000119,1,0.5500000119,LOCAL,LOCAL
Growth_LowerHead,Transformation,False,Dorothy.Armature,Growth_T,True,0,0.1000000015,0,0,0,0,X,X,X,SCALE,1,1,1,0.8999999762,1,1,LOCAL,LOCAL
Forearm.L.001,Transformation,False,Dorothy.Armature,Growth_T,True,0,0.1000000015,0,0,0,0,X,X,X,SCALE,1,0.1000000015,1,0.1000000015,1,0.1000000015,LOCAL,LOCAL
Forearm.R.001,Transformation,False,Dorothy.Armature,Growth_T,True,0,0.1000000015,0,0,0,0,X,X,X,SCALE,1,0.1000000015,1,0.1000000015,1,0.1000000015,LOCAL,POSE
Hand.L,Rig Ctrl,False,Dorothy.Armature,Hand_P.L,True,0,0,0,0.0049999999,0,0,Y,Y,Y,ROTATION,0,0,0,-0.7853981853,0,0,LOCAL,LOCAL
Forearm.L.001,Rig Ctrl,False,Dorothy.Armature,Hand_P.L,True,0,0,0,0.0049999999,0,0,Y,Y,Y,ROTATION,0,0,0,0.7853981853,0,0,LOCAL,LOCAL
Hand.R,Rig Ctrl,False,Dorothy.Armature,Hand_P.R,True,0,0,0,0.0049999999,0,0,Y,Y,Y,ROTATION,0,0,0,0.7853981853,0,0,LOCAL,LOCAL
Forearm.R.001,Rig Ctrl,False,Dorothy.Armature,Hand_P.R,True,0,0,0,0.0049999999,0,0,Y,Y,Y,ROTATION,0,0,0,-0.7853981853,0,0,LOCAL,LOCAL
Hand.L,Rig Ctrl.001,False,Dorothy.Armature,Hand_T.L,True,0,0.0020000001,0,0.0020000001,0,0,Y,Z,X,ROTATION,0,0.7853981853,0,0,0,0.7853981853,LOCAL,LOCAL
Hand.R,Rig Ctrl.001,False,Dorothy.Armature,Hand_T.R,True,0,0.0020000001,0,0.0020000001,0,0,Y,Z,X,ROTATION,0,0.7853981853,0,0,0,0.7853981853,LOCAL,LOCAL
Head,Rig Ctrl.001,False,Dorothy.Armature,Head_Size_T,True,0,0,0,0.0099999998,0,0,Y,Y,Y,SCALE,1,0.8999999762,1,0.8999999762,1,0.8999999762,LOCAL,LOCAL
Head.001,Rig Ctrl,False,Dorothy.Armature,Head_Size_T,True,0,0.0099999998,0,0.0099999998,0,0,Y,Y,Y,LOCATION,0,0,0,0.0099999998,0,0,LOCAL,LOCAL
Head.001,Rig Ctrl.001,False,Dorothy.Armature,Head_Size_T,True,0,0,0,0.0099999998,0,0,Y,Y,Y,SCALE,1,0.8999999762,1,0.8999999762,1,0.8999999762,LOCAL,LOCAL
Head,Rig Ctrl,False,Dorothy.Armature,Head_T,True,0,0.0049999999,0,0.0049999999,0,0,Y,Z,X,ROTATION,0,-0.7853981853,0,0,0,-0.7853981853,LOCAL,LOCAL
Shanks.L.006,Rig Ctrl,False,Dorothy.Armature,Heel_T.L.001,True,0,0.0049999999,0,0.0049999999,0,0,Y,Z,X,ROTATION,0,0,0,0,0,-0.7853981853,LOCAL,LOCAL
Foot.L,Rig Ctrl,False,Dorothy.Armature,Heel_T.L.001,True,0,0.0099999998,0,0.0099999998,0,0,Y,Z,X,ROTATION,0,0.7853981853,0,0,0,-0.7853981853,LOCAL,LOCAL
Shanks.R.006,Rig Ctrl,False,Dorothy.Armature,Heel_T.R.001,True,0,0.0049999999,0,0.0049999999,0,0,Y,Z,X,ROTATION,0,0,0,0,0,-0.7853981853,LOCAL,LOCAL
Foot.R,Rig Ctrl,False,Dorothy.Armature,Heel_T.R.001,True,0,0.0099999998,0,0.0099999998,0,0,Y,Z,X,ROTATION,0,0.7853981853,0,0,0,-0.7853981853,LOCAL,LOCAL
Index_Root.L,Transformation,False,Dorothy.Armature,Index_T.L,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-0.0872664601,0.0872664601,0,0,-0.0872664601,0.0872664601,LOCAL,LOCAL
Index.L,Transformation,False,Dorothy.Armature,Index_T.L,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-1.5707963705,1.5707963705,0,0,-1.5707963705,1.5707963705,LOCAL,LOCAL
Index.L.001,Transformation,False,Dorothy.Armature,Index_T.L.001,True,-0.0049999999,0.0049999999,0,0,0,0,X,Y,Z,ROTATION,-2.0943951607,2.0943951607,0,0,0,0,LOCAL,LOCAL
Index_Root.R,Transformation,False,Dorothy.Armature,Index_T.R,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,0.0872664601,-0.0872664601,0,0,0.0872664601,-0.0872664601,LOCAL,LOCAL
Index.R,Transformation,False,Dorothy.Armature,Index_T.R,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,1.5707963705,-1.5707963705,0,0,1.5707963705,-1.5707963705,LOCAL,LOCAL
Index.R.001,Transformation,False,Dorothy.Armature,Index_T.R.001,True,-0.0049999999,0.0049999999,0,0,0,0,X,Y,Z,ROTATION,2.0943951607,-2.0943951607,0,0,0,0,LOCAL,LOCAL
Tooth,Rig Ctrl,False,Dorothy.Armature,Jaw_T,True,0,0,0,0.0099999998,0,0,Y,Z,Z,ROTATION,0,-0.1963495463,0,0,0,0,LOCAL,LOCAL
JawStretch.001,Rig Ctrl,False,Dorothy.Armature,JawStretch_T,True,0,0,0,0.0099999998,0,0,Z,Y,Z,LOCATION,0,0,0,-0.0199999996,0,0,LOCAL,LOCAL
Knee.L.001,Rig Ctrl,False,Dorothy.Armature,Knee_T.L,False,0,0.0099999998,0,0.0099999998,0,0,Y,Z,X,ROTATION,0,0.7853981853,0,0,0,-0.7853981853,LOCAL,LOCAL
Knee.R.001,Rig Ctrl,False,Dorothy.Armature,Knee_T.R,False,0,0.0099999998,0,0.0099999998,0,0,Y,Z,X,ROTATION,0,0.7853981853,0,0,0,-0.7853981853,LOCAL,LOCAL
Little_Root.L,Transformation,False,Dorothy.Armature,Little_T.L,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-0.0872664601,0.0872664601,0,0,-0.0872664601,0.0872664601,LOCAL,LOCAL
Little.L,Transformation,False,Dorothy.Armature,Little_T.L,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-1.5707963705,1.5707963705,0,0,-1.5707963705,1.5707963705,LOCAL,LOCAL
Little.L.001,Transformation,False,Dorothy.Armature,Little_T.L.001,True,-0.0049999999,0.0049999999,0,0,0,0,X,Y,Z,ROTATION,-2.0943951607,2.0943951607,0,0,0,0,LOCAL,LOCAL
Little_Root.R,Transformation,False,Dorothy.Armature,Little_T.R,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,0.0872664601,-0.0872664601,0,0,0.0872664601,-0.0872664601,LOCAL,LOCAL
Little.R,Transformation,False,Dorothy.Armature,Little_T.R,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,1.5707963705,-1.5707963705,0,0,1.5707963705,-1.5707963705,LOCAL,LOCAL
Little.R.001,Transformation,False,Dorothy.Armature,Little_T.R.001,True,-0.0049999999,0.0049999999,0,0,0,0,X,Y,Z,ROTATION,2.0943951607,-2.0943951607,0,0,0,0,LOCAL,LOCAL
LittleToe.L,Transformation,False,Dorothy.Armature,LittleToe_T.L,False,-0.0099999998,0.0099999998,0,0,-0.0099999998,0.0099999998,Z,Y,X,ROTATION,-2.0943951607,2.0943951607,0,0,-2.0943951607,2.0943951607,LOCAL,LOCAL
LittleToe.L.001,Transformation,False,Dorothy.Armature,LittleToe_T.L,False,-0.0099999998,0.0099999998,0,0,-0.0099999998,0.0099999998,Z,Y,X,ROTATION,-2.0943951607,2.0943951607,0,0,-2.0943951607,2.0943951607,LOCAL,LOCAL
LittleToe.L.002,Transformation,False,Dorothy.Armature,LittleToe_T.L,False,-0.0099999998,0.0099999998,0,0,-0.0099999998,0.0099999998,Z,Y,X,ROTATION,-2.0943951607,2.0943951607,0,0,-2.0943951607,2.0943951607,LOCAL,LOCAL
LittleToe.L.003,Transformation,False,Dorothy.Armature,LittleToe_T.L,False,-0.0099999998,0.0099999998,0,0,-0.0099999998,0.0099999998,Z,Y,X,ROTATION,-0.0872664601,0.0872664601,0,0,-0.0872664601,0.0872664601,LOCAL,LOCAL
LittleToe.R,Transformation,False,Dorothy.Armature,LittleToe_T.R,False,-0.0099999998,0.0099999998,0,0,-0.0099999998,0.0099999998,Z,Y,X,ROTATION,-2.0943951607,2.0943951607,0,0,-2.0943951607,2.0943951607,LOCAL,LOCAL
LittleToe.R.001,Transformation,False,Dorothy.Armature,LittleToe_T.R,False,-0.0099999998,0.0099999998,0,0,-0.0099999998,0.0099999998,Z,Y,X,ROTATION,-2.0943951607,2.0943951607,0,0,-2.0943951607,2.0943951607,LOCAL,LOCAL
LittleToe.R.002,Transformation,False,Dorothy.Armature,LittleToe_T.R,False,-0.0099999998,0.0099999998,0,0,-0.0099999998,0.0099999998,Z,Y,X,ROTATION,-2.0943951607,2.0943951607,0,0,-2.0943951607,2.0943951607,LOCAL,LOCAL
